fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,mogadishu_research,internal_review_notes,internal_review_notes_other,checkpoint_type,name_of_group,bribe_requested,checkpoint_bribe,communication_type,modern_type,internet_cafe_capacity,cluster_size,traditional_type,news_paper_name,communication_photo,communication_photo_caption,communication_notes,group_type,state_actor_type,military_type,state_actor_other,name_of_person_or_group,non_state_actor,other_non_state_actor,business_type,group_validation,range_of_influence,key_group_multi_districts,key_group_multi_districts_other,group_photo,group_photo_caption,group_other_validation_description,group_notes,medical_type,public_type,public_hospital_type,public_center_type,other_speciality_describe,private_type,private_clinic,private_clinic_other,private_hospital,service_capacity,perceived_quality,medical_photo,medical_photo_caption,medical_notes,religion_type,religion_indicator_type,religion_photos,religion_photos_caption,religion_notes,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
64f616d4-12c6-485f-9454-ab6575fc04af,2014-05-22 17:22:21 UTC,2014-05-30 12:49:34 UTC,clickaffily6@gmail.com,andie@spatialnetworks.com,2014-05-22 09:28:48 UTC,2014-05-30 12:49:34 UTC,2,No EXIF,"","",2.03630977390124,45.3366837836802,POINT (45.3366837836802 2.03630977390124),Communication,"","","","","","",Modern,Radio Tower,"","","","",7fc5845f-eaa3-48c1-a2df-d2e52bb3f9a3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
5281bbe5-2440-4357-9c21-2dd44064d7ab,2014-05-22 17:28:02 UTC,2014-05-30 12:49:46 UTC,clickaffily6@gmail.com,andie@spatialnetworks.com,2014-05-22 09:29:19 UTC,2014-05-30 12:49:46 UTC,2,No EXIF,"","",2.03993651496283,45.3374441899359,POINT (45.3374441899359 2.03993651496283),Communication,"","","","","","",Modern,Radio Tower,"","","","",b2ed36a3-2d92-489f-90ff-615c970c1e9a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
344c8bf2-4bcb-45c8-8632-ee7703c1bd2d,2014-05-22 17:45:13 UTC,2014-05-30 12:50:21 UTC,clickaffily6@gmail.com,andie@spatialnetworks.com,2014-05-22 09:29:56 UTC,2014-05-30 12:50:22 UTC,2,No EXIF,"","",2.03812582998906,45.3181487135589,POINT (45.3181487135589 2.03812582998906),Religion,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Islam Sufi,Mowlah,581051ea-ed7d-4b59-974c-4d643b92f373,"","",0.0,0.0,"","",0.0
cf4cfd4c-ff6c-4af0-824d-dee3cf63e050,2014-05-22 18:03:04 UTC,2014-05-30 12:50:41 UTC,clickaffily6@gmail.com,andie@spatialnetworks.com,2014-05-22 09:30:45 UTC,2014-05-30 12:50:41 UTC,2,No EXIF,"","",2.03189990326739,45.3150148876011,POINT (45.3150148876011 2.03189990326739),Medical,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Private,"","","","",Hospital,"","",General,50 - 100,"",1a70b217-ce0f-4fae-9502-be05dc27a47b,"","","","","","","",0.0,0.0,"","",0.0
1128ed23-153b-47e1-8ea2-b2255dbf6341,2014-05-22 18:06:10 UTC,2014-05-30 12:54:15 UTC,clickaffily6@gmail.com,andie@spatialnetworks.com,2014-05-22 09:34:03 UTC,2014-05-30 12:54:15 UTC,2,No EXIF,"","",2.03185265905883,45.3181959874928,POINT (45.3181959874928 2.03185265905883),Medical,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Private,"","","","",Clinic,Dental,"","",10 - 49,"Excellent (fully equipped, staffed, sanitary)",dc73a04d-234e-4906-a0f0-051f22ba68a5,"","","","","","","",0.0,0.0,"","",0.0
186c264c-1f21-4576-bcdb-a36f2c987fc7,2014-05-22 18:08:45 UTC,2014-05-30 12:54:28 UTC,clickaffily6@gmail.com,andie@spatialnetworks.com,2014-05-22 09:34:33 UTC,2014-05-30 12:54:28 UTC,2,No EXIF,"","",2.03008795476684,45.3189329244196,POINT (45.3189329244196 2.03008795476684),Communication,"","","","","","",Modern,Mobile Tower,"","","","",50b74771-59be-4248-bb6c-1f6ccd45aa22,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
ac041fe0-c320-472c-81b0-73ac2c237b41,2014-05-22 07:05:39 UTC,2014-05-30 12:54:40 UTC,ahmedmoalin@hotmail.com,andie@spatialnetworks.com,2014-05-22 09:54:41 UTC,2014-05-30 12:54:40 UTC,2,No EXIF,"","",2.0467731,45.3364318,POINT (45.3364318 2.0467731),Medical,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Public,Health Center,"",Maternity + Child,"","","","","",50 - 100,Good (Clean + some staff and equipment),660b2193-ee4a-4867-aae8-75bf459bec46,"","","","","","","",13.1819371055988,48.0,"","",87.0
03ed3493-bef2-4c68-8281-8e0a04794845,2014-05-22 07:28:18 UTC,2014-05-30 12:55:36 UTC,ahmedmoalin@hotmail.com,andie@spatialnetworks.com,2014-05-22 09:54:55 UTC,2014-05-30 12:55:37 UTC,2,No EXIF,"","",2.04003063076683,45.341786686331,POINT (45.341786686331 2.04003063076683),Medical,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Public,Health Center,"",Maternity + Child,"","","","","",101- 500,Good (Clean + some staff and equipment),7fef54b0-b005-42ad-8514-33961aebcafb,"","","","","","","",0.0,0.0,"","",0.0
450e63d4-0482-468a-91b4-cc5d13430aff,2014-05-25 11:12:33 UTC,2014-05-30 12:57:23 UTC,mogresearcher2@gmail.com,andie@spatialnetworks.com,2014-05-25 11:13:18 UTC,2014-05-30 12:57:23 UTC,2,Approved,"","",2.03725667054951,45.3315108083189,POINT (45.3315108083189 2.03725667054951),Key Groups,"","","","","","","","","","","","","","","",Non-State Actor,"","","","",Shabaab,"","",Witness/Observation,Partial District,"","","","","",attack on parliament ,"","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
0ef189d9-ccfb-478f-ab91-2185cf8822df,2014-05-27 08:46:37 UTC,2014-05-30 12:57:38 UTC,researcher1@sutikasipus.com,andie@spatialnetworks.com,2014-05-27 12:00:39 UTC,2014-05-30 12:57:39 UTC,2,No EXIF,"","",2.03023974516471,45.3189198486507,POINT (45.3189198486507 2.03023974516471),Communication,"","","","","","",Modern,Internet Cafe,10 - 25,"","","",753ba108-b8b9-4179-94c3-b57718b007a1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
8a4fb93b-c236-4f40-90b1-1cd5c8a9067e,2014-05-27 10:28:35 UTC,2014-05-30 13:15:27 UTC,researcher1@sutikasipus.com,andie@spatialnetworks.com,2014-05-27 12:00:48 UTC,2014-05-30 13:15:28 UTC,3,No EXIF,"","",2.04518593457872,45.3488657064736,POINT (45.3488657064736 2.04518593457872),Medical,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Private,"","","","",Hospital,"","",General,50 - 100,Good (Clean + some staff and equipment),a74cb221-fe29-4ed3-a832-29877b3ab9e4,"","","","","","","",0.0,0.0,"","",0.0
b79b5aa6-06ff-4a30-a78c-e1dc0ee39f67,2014-05-27 10:31:46 UTC,2014-05-30 12:57:52 UTC,researcher1@sutikasipus.com,andie@spatialnetworks.com,2014-05-27 12:00:57 UTC,2014-05-30 12:57:52 UTC,2,No EXIF,"","",2.0453442,45.349011,POINT (45.349011 2.0453442),Religion,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Islam Sunni,Madrassa,5cf7b424-cd23-4909-8d58-38fafe472c86,"","",11.3337933625563,32.0,"","",0.0
0797613e-3e65-4b38-98cc-821ac7333408,2014-05-27 10:34:15 UTC,2014-05-30 12:58:06 UTC,researcher1@sutikasipus.com,andie@spatialnetworks.com,2014-05-27 12:01:09 UTC,2014-05-30 12:58:07 UTC,2,No EXIF,"","",2.04563793389647,45.3488647006452,POINT (45.3488647006452 2.04563793389647),Communication,"","","","","","",Modern,Mobile Tower,"","","","",3c7c4024-0eb1-491c-998a-69f176565a27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
0ccf8e89-beff-4506-97ed-acc6f3e66f36,2014-05-27 10:38:09 UTC,2014-05-30 12:58:17 UTC,researcher1@sutikasipus.com,andie@spatialnetworks.com,2014-05-27 12:01:17 UTC,2014-05-30 12:58:18 UTC,2,No EXIF,"","",2.04781082610413,45.3515589796007,POINT (45.3515589796007 2.04781082610413),Communication,"","","","","","",Modern,Mobile Tower,"","","","",ec04d99b-8c75-4b4d-a902-d42d698af2b1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
4fbf0b5a-708e-4a4d-adc3-e6d65e3cf149,2014-05-27 10:42:32 UTC,2014-05-30 12:58:29 UTC,researcher1@sutikasipus.com,andie@spatialnetworks.com,2014-05-27 12:01:37 UTC,2014-05-30 12:58:29 UTC,2,No EXIF,"","",2.04843470110288,45.3502208925784,POINT (45.3502208925784 2.04843470110288),Communication,"","","","","","",Modern,Mobile Tower,"","","","",4b146084-f025-4ce1-8ae4-e5eb495639e6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"","",0.0
